SERIAL_NUMBER,LOCAL_CODE,LOCAL_NAME,YEAR,POPULATION,POPULATION_BIRTH,POPULATION_DEATH,POPULATION_DEATH_U1,GDP,GDP_PC,SANITATION,BIRTH_RATE,IMR,CMR,AGE,POPULATION_TARGET,INDICATOR,FL_DROPOUT,NU_DOSE_FIRST,NU_DOSE_FINAL,NU_DROPOUT,PC_DROPOUT,PC_COVERAGE,FL_GOAL,CAT_GOAL,MHDI_E_CATEGORY,MHDI_L_CATEGORY,MHDI_I_CATEGORY
1,110001,Alta Floresta D'Oeste,2019,22945,367,140,3,495628.767,21600.73075,9.31,15.9948,8.1744,6.1015,0-1 year,367,FL_U1_BCG,0,,331,,,90.19,1,3,satisfactory,high,satisfactory
2,110001,Alta Floresta D'Oeste,2020,22728,332,138,2,495628.767,21600.73075,9.31,14.6075,6.0241,6.0718,0-1 year,332,FL_U1_BCG,0,,288,,,86.75,0,2,satisfactory,high,satisfactory
3,110001,Alta Floresta D'Oeste,2021,22516,351,197,2,495628.767,21600.73075,9.31,15.5889,5.698,8.7493,0-1 year,351,FL_U1_BCG,0,,224,,,63.82,0,2,satisfactory,high,satisfactory
4,110002,Ariquemes,2019,107863,1729,502,18,2578829.725,23908.38123,11.4,16.0296,10.4106,4.6541,0-1 year,1729,FL_U1_BCG,0,,1942,,,112.32,1,3,satisfactory,high,satisfactory
5,110002,Ariquemes,2020,109523,1507,666,11,2578829.725,23908.38123,11.4,13.7597,7.2993,6.0809,0-1 year,1507,FL_U1_BCG,0,,1538,,,102.06,1,3,satisfactory,high,satisfactory
6,110002,Ariquemes,2021,111148,1546,927,18,2578829.725,23908.38123,11.4,13.9094,11.6429,8.3402,0-1 year,1546,FL_U1_BCG,0,,1636,,,105.82,1,3,satisfactory,high,satisfactory
7,110003,Cabixi,2019,5312,80,41,2,139959.39,26347.77673,3.31,15.0602,25,7.7184,0-1 year,80,FL_U1_BCG,0,,0,,,0,0,1,satisfactory,high,satisfactory
8,110003,Cabixi,2020,5188,69,52,2,139959.39,26347.77673,3.31,13.2999,28.9855,10.0231,0-1 year,69,FL_U1_BCG,0,,0,,,0,0,1,satisfactory,high,satisfactory
9,110003,Cabixi,2021,5067,67,49,1,139959.39,26347.77673,3.31,13.2228,14.9254,9.6704,0-1 year,67,FL_U1_BCG,0,,0,,,0,0,1,satisfactory,high,satisfactory
10,110004,Cacoal,2019,85359,1374,491,7,2260643.565,26483.9509,1.85,16.0967,5.0946,5.7522,0-1 year,1374,FL_U1_BCG,0,,1638,,,119.21,1,3,satisfactory,high,satisfactory
11,110004,Cacoal,2020,85893,1324,593,22,2260643.565,26483.9509,1.85,15.4145,16.6163,6.9039,0-1 year,1324,FL_U1_BCG,0,,1385,,,104.61,1,3,satisfactory,high,satisfactory
12,110004,Cacoal,2021,86416,1357,748,12,2260643.565,26483.9509,1.85,15.7031,8.843,8.6558,0-1 year,1357,FL_U1_BCG,0,,1439,,,106.04,1,3,satisfactory,high,satisfactory
13,110005,Cerejeiras,2019,16323,237,107,4,506854.457,31051.55039,5.34,14.5194,16.8776,6.5552,0-1 year,237,FL_U1_BCG,0,,101,,,42.62,0,1,satisfactory,high,satisfactory
14,110005,Cerejeiras,2020,16204,269,110,2,506854.457,31051.55039,5.34,16.6008,7.4349,6.7884,0-1 year,269,FL_U1_BCG,0,,187,,,69.52,0,2,satisfactory,high,satisfactory
15,110005,Cerejeiras,2021,16088,250,146,2,506854.457,31051.55039,5.34,15.5395,8,9.0751,0-1 year,250,FL_U1_BCG,0,,170,,,68,0,2,satisfactory,high,satisfactory
16,110006,Colorado do Oeste,2019,15882,214,85,1,334851.274,21083.69689,2.99,13.4744,4.6729,5.352,0-1 year,214,FL_U1_BCG,0,,12,,,5.61,0,1,satisfactory,high,satisfactory
17,110006,Colorado do Oeste,2020,15544,203,0,0,334851.274,21083.69689,2.99,13.0597,0,0,0-1 year,203,FL_U1_BCG,0,,34,,,16.75,0,1,satisfactory,high,satisfactory
18,110006,Colorado do Oeste,2021,15213,230,0,0,334851.274,21083.69689,2.99,15.1186,0,0,0-1 year,230,FL_U1_BCG,0,,39,,,16.96,0,1,satisfactory,high,satisfactory
19,110007,Corumbiara,2019,7391,127,0,0,349247.369,47253.06034,6.31,17.1831,0,0,0-1 year,127,FL_U1_BCG,0,,28,,,22.05,0,1,low,high,satisfactory
20,110007,Corumbiara,2020,7220,107,45,5,349247.369,47253.06034,6.31,14.8199,46.729,6.2327,0-1 year,107,FL_U1_BCG,0,,23,,,21.5,0,1,low,high,satisfactory
21,110007,Corumbiara,2021,7052,118,0,0,349247.369,47253.06034,6.31,16.7328,0,0,0-1 year,118,FL_U1_BCG,0,,14,,,11.86,0,1,low,high,satisfactory
22,110008,Costa Marques,2019,18331,233,56,6,238768.544,13025.39654,36.41,12.7107,25.7511,3.0549,0-1 year,233,FL_U1_BCG,0,,252,,,108.15,1,3,low,high,satisfactory
23,110008,Costa Marques,2020,18798,190,64,5,238768.544,13025.39654,36.41,10.1075,26.3158,3.4046,0-1 year,190,FL_U1_BCG,0,,159,,,83.68,0,2,low,high,satisfactory
24,110008,Costa Marques,2021,19255,188,96,1,238768.544,13025.39654,36.41,9.7637,5.3191,4.9857,0-1 year,188,FL_U1_BCG,0,,146,,,77.66,0,2,low,high,satisfactory
25,110009,Espigão D'Oeste,2019,32374,450,167,8,624760.162,19298.20727,7.66,13.9,17.7778,5.1585,0-1 year,450,FL_U1_BCG,0,,382,,,84.89,0,2,satisfactory,high,satisfactory
26,110009,Espigão D'Oeste,2020,32695,471,181,4,624760.162,19298.20727,7.66,14.4059,8.4926,5.536,0-1 year,471,FL_U1_BCG,0,,419,,,88.96,0,2,satisfactory,high,satisfactory
27,110009,Espigão D'Oeste,2021,33009,479,245,5,624760.162,19298.20727,7.66,14.5112,10.4384,7.4222,0-1 year,479,FL_U1_BCG,0,,430,,,89.77,0,2,satisfactory,high,satisfactory
28,110010,Guajará-Mirim,2019,46174,781,216,8,892883.182,19337.3583,36.84,16.9143,10.2433,4.678,0-1 year,781,FL_U1_BCG,0,,690,,,88.35,0,2,satisfactory,high,satisfactory
29,110010,Guajará-Mirim,2020,46556,858,317,19,892883.182,19337.3583,36.84,18.4294,22.1445,6.809,0-1 year,858,FL_U1_BCG,0,,434,,,50.58,0,2,satisfactory,high,satisfactory
30,110010,Guajará-Mirim,2021,46930,806,383,12,892883.182,19337.3583,36.84,17.1745,14.8883,8.1611,0-1 year,806,FL_U1_BCG,0,,492,,,61.04,0,2,satisfactory,high,satisfactory
31,110011,Jaru,2019,51775,881,277,4,1500889.69,28988.69512,15.11,17.0159,4.5403,5.3501,0-1 year,881,FL_U1_BCG,0,,897,,,101.82,1,3,satisfactory,high,satisfactory
